ano,cod_UF_res,casos,abbrev_state,name_state,code_region,name_region
1983,29,0,BA,Bahia,2,Nordeste
1983,31,1,MG,Minas Gerais,3,Sudeste
1983,32,0,ES,Espirito Santo,3,Sudeste
1983,33,7,RJ,Rio De Janeiro,3,Sudeste
1983,35,24,SP,São Paulo,3,Sudeste
1983,41,1,PR,Paraná,4,Sul
1983,42,0,SC,Santa Catarina,4,Sul
1983,43,3,RS,Rio Grande Do Sul,4,Sul
1983,50,0,MS,Mato Grosso Do Sul,5,Centro Oeste
1983,51,0,MT,Mato Grosso,5,Centro Oeste
1983,52,0,GO,Goiás,5,Centro Oeste
1983,53,1,DF,Distrito Federal,5,Centro Oeste
1984,11,0,RO,Rondônia,1,Norte
1984,12,0,AC,Acre,1,Norte
1984,13,0,AM,Amazonas,1,Norte
1984,14,0,RR,Roraima,1,Norte
1984,15,1,PA,Pará,1,Norte
1984,16,1,AP,Amapá,1,Norte
1984,17,0,TO,Tocantins,1,Norte
1984,21,0,MA,Maranhão,2,Nordeste
1984,22,0,PI,Piauí,2,Nordeste
1984,23,0,CE,Ceará,2,Nordeste
1984,24,1,RN,Rio Grande Do Norte,2,Nordeste
1984,25,0,PB,Paraíba,2,Nordeste
1984,26,2,PE,Pernambuco,2,Nordeste
1984,27,0,AL,Alagoas,2,Nordeste
1984,28,0,SE,Sergipe,2,Nordeste
1984,29,2,BA,Bahia,2,Nordeste
1984,31,5,MG,Minas Gerais,3,Sudeste
1984,32,1,ES,Espirito Santo,3,Sudeste
1984,33,26,RJ,Rio De Janeiro,3,Sudeste
1984,35,85,SP,São Paulo,3,Sudeste
1984,41,1,PR,Paraná,4,Sul
1984,42,1,SC,Santa Catarina,4,Sul
1984,43,5,RS,Rio Grande Do Sul,4,Sul
1984,50,2,MS,Mato Grosso Do Sul,5,Centro Oeste
1984,51,2,MT,Mato Grosso,5,Centro Oeste
1984,52,1,GO,Goiás,5,Centro Oeste
1984,53,0,DF,Distrito Federal,5,Centro Oeste
1985,11,0,RO,Rondônia,1,Norte
1985,12,0,AC,Acre,1,Norte
1985,13,0,AM,Amazonas,1,Norte
1985,14,0,RR,Roraima,1,Norte
1985,15,1,PA,Pará,1,Norte
1985,16,0,AP,Amapá,1,Norte
1985,17,0,TO,Tocantins,1,Norte
1985,21,6,MA,Maranhão,2,Nordeste
1985,22,0,PI,Piauí,2,Nordeste
1985,23,6,CE,Ceará,2,Nordeste
1985,24,0,RN,Rio Grande Do Norte,2,Nordeste
1985,25,6,PB,Paraíba,2,Nordeste
1985,26,8,PE,Pernambuco,2,Nordeste
1985,27,0,AL,Alagoas,2,Nordeste
1985,28,0,SE,Sergipe,2,Nordeste
1985,29,4,BA,Bahia,2,Nordeste
1985,31,30,MG,Minas Gerais,3,Sudeste
1985,32,4,ES,Espirito Santo,3,Sudeste
1985,33,109,RJ,Rio De Janeiro,3,Sudeste
1985,35,324,SP,São Paulo,3,Sudeste
1985,41,5,PR,Paraná,4,Sul
1985,42,1,SC,Santa Catarina,4,Sul
1985,43,15,RS,Rio Grande Do Sul,4,Sul
1985,50,1,MS,Mato Grosso Do Sul,5,Centro Oeste
1985,51,5,MT,Mato Grosso,5,Centro Oeste
1985,52,5,GO,Goiás,5,Centro Oeste
1985,53,5,DF,Distrito Federal,5,Centro Oeste
1986,11,0,RO,Rondônia,1,Norte
1986,12,0,AC,Acre,1,Norte
1986,13,2,AM,Amazonas,1,Norte
1986,14,0,RR,Roraima,1,Norte
1986,15,3,PA,Pará,1,Norte
1986,16,0,AP,Amapá,1,Norte
1986,17,0,TO,Tocantins,1,Norte
1986,21,2,MA,Maranhão,2,Nordeste
1986,22,2,PI,Piauí,2,Nordeste
1986,23,9,CE,Ceará,2,Nordeste
1986,24,3,RN,Rio Grande Do Norte,2,Nordeste
1986,25,3,PB,Paraíba,2,Nordeste
1986,26,15,PE,Pernambuco,2,Nordeste
1986,27,0,AL,Alagoas,2,Nordeste
1986,28,0,SE,Sergipe,2,Nordeste
1986,29,21,BA,Bahia,2,Nordeste
1986,31,48,MG,Minas Gerais,3,Sudeste
1986,32,8,ES,Espirito Santo,3,Sudeste
1986,33,282,RJ,Rio De Janeiro,3,Sudeste
1986,35,595,SP,São Paulo,3,Sudeste
1986,41,15,PR,Paraná,4,Sul
1986,42,9,SC,Santa Catarina,4,Sul
1986,43,72,RS,Rio Grande Do Sul,4,Sul
1986,50,6,MS,Mato Grosso Do Sul,5,Centro Oeste
1986,51,8,MT,Mato Grosso,5,Centro Oeste
1986,52,8,GO,Goiás,5,Centro Oeste
1986,53,10,DF,Distrito Federal,5,Centro Oeste
1987,11,3,RO,Rondônia,1,Norte
1987,12,3,AC,Acre,1,Norte
1987,13,4,AM,Amazonas,1,Norte
1987,14,1,RR,Roraima,1,Norte
1987,15,9,PA,Pará,1,Norte
1987,16,0,AP,Amapá,1,Norte
1987,17,1,TO,Tocantins,1,Norte
1987,21,8,MA,Maranhão,2,Nordeste
1987,22,9,PI,Piauí,2,Nordeste
1987,23,13,CE,Ceará,2,Nordeste
1987,24,14,RN,Rio Grande Do Norte,2,Nordeste
1987,25,13,PB,Paraíba,2,Nordeste
1987,26,67,PE,Pernambuco,2,Nordeste
1987,27,0,AL,Alagoas,2,Nordeste
1987,28,8,SE,Sergipe,2,Nordeste
1987,29,41,BA,Bahia,2,Nordeste
1987,31,108,MG,Minas Gerais,3,Sudeste
1987,32,19,ES,Espirito Santo,3,Sudeste
1987,33,595,RJ,Rio De Janeiro,3,Sudeste
1987,35,1530,SP,São Paulo,3,Sudeste
1987,41,38,PR,Paraná,4,Sul
1987,42,25,SC,Santa Catarina,4,Sul
1987,43,99,RS,Rio Grande Do Sul,4,Sul
1987,50,10,MS,Mato Grosso Do Sul,5,Centro Oeste
1987,51,19,MT,Mato Grosso,5,Centro Oeste
1987,52,48,GO,Goiás,5,Centro Oeste
1987,53,23,DF,Distrito Federal,5,Centro Oeste
1988,11,3,RO,Rondônia,1,Norte
1988,12,2,AC,Acre,1,Norte
1988,13,10,AM,Amazonas,1,Norte
1988,14,1,RR,Roraima,1,Norte
1988,15,20,PA,Pará,1,Norte
1988,16,4,AP,Amapá,1,Norte
1988,17,0,TO,Tocantins,1,Norte
1988,21,11,MA,Maranhão,2,Nordeste
1988,22,14,PI,Piauí,2,Nordeste
1988,23,30,CE,Ceará,2,Nordeste
1988,24,10,RN,Rio Grande Do Norte,2,Nordeste
1988,25,11,PB,Paraíba,2,Nordeste
1988,26,90,PE,Pernambuco,2,Nordeste
1988,27,0,AL,Alagoas,2,Nordeste
1988,28,17,SE,Sergipe,2,Nordeste
1988,29,75,BA,Bahia,2,Nordeste
1988,31,148,MG,Minas Gerais,3,Sudeste
1988,32,33,ES,Espirito Santo,3,Sudeste
1988,33,883,RJ,Rio De Janeiro,3,Sudeste
1988,35,2552,SP,São Paulo,3,Sudeste
1988,41,75,PR,Paraná,4,Sul
1988,42,54,SC,Santa Catarina,4,Sul
1988,43,172,RS,Rio Grande Do Sul,4,Sul
1988,50,19,MS,Mato Grosso Do Sul,5,Centro Oeste
1988,51,17,MT,Mato Grosso,5,Centro Oeste
1988,52,62,GO,Goiás,5,Centro Oeste
1988,53,40,DF,Distrito Federal,5,Centro Oeste
1989,11,2,RO,Rondônia,1,Norte
1989,12,4,AC,Acre,1,Norte
1989,13,16,AM,Amazonas,1,Norte
1989,14,7,RR,Roraima,1,Norte
1989,15,31,PA,Pará,1,Norte
1989,16,2,AP,Amapá,1,Norte
1989,17,0,TO,Tocantins,1,Norte
1989,21,28,MA,Maranhão,2,Nordeste
1989,22,12,PI,Piauí,2,Nordeste
1989,23,56,CE,Ceará,2,Nordeste
1989,24,21,RN,Rio Grande Do Norte,2,Nordeste
1989,25,18,PB,Paraíba,2,Nordeste
1989,26,165,PE,Pernambuco,2,Nordeste
1989,27,0,AL,Alagoas,2,Nordeste
1989,28,15,SE,Sergipe,2,Nordeste
1989,29,132,BA,Bahia,2,Nordeste
1989,31,232,MG,Minas Gerais,3,Sudeste
1989,32,51,ES,Espirito Santo,3,Sudeste
1989,33,1142,RJ,Rio De Janeiro,3,Sudeste
1989,35,3441,SP,São Paulo,3,Sudeste
1989,41,103,PR,Paraná,4,Sul
1989,42,90,SC,Santa Catarina,4,Sul
1989,43,262,RS,Rio Grande Do Sul,4,Sul
1989,50,27,MS,Mato Grosso Do Sul,5,Centro Oeste
1989,51,25,MT,Mato Grosso,5,Centro Oeste
1989,52,63,GO,Goiás,5,Centro Oeste
1989,53,74,DF,Distrito Federal,5,Centro Oeste
1990,11,7,RO,Rondônia,1,Norte
1990,12,2,AC,Acre,1,Norte
1990,13,24,AM,Amazonas,1,Norte
1990,14,6,RR,Roraima,1,Norte
1990,15,35,PA,Pará,1,Norte
1990,16,1,AP,Amapá,1,Norte
1990,17,6,TO,Tocantins,1,Norte
1990,21,57,MA,Maranhão,2,Nordeste
1990,22,20,PI,Piauí,2,Nordeste
1990,23,70,CE,Ceará,2,Nordeste
1990,24,28,RN,Rio Grande Do Norte,2,Nordeste
1990,25,44,PB,Paraíba,2,Nordeste
1990,26,180,PE,Pernambuco,2,Nordeste
1990,27,31,AL,Alagoas,2,Nordeste
1990,28,19,SE,Sergipe,2,Nordeste
1990,29,152,BA,Bahia,2,Nordeste
1990,31,381,MG,Minas Gerais,3,Sudeste
1990,32,57,ES,Espirito Santo,3,Sudeste
1990,33,1384,RJ,Rio De Janeiro,3,Sudeste
1990,35,5071,SP,São Paulo,3,Sudeste
1990,41,163,PR,Paraná,4,Sul
1990,42,216,SC,Santa Catarina,4,Sul
1990,43,432,RS,Rio Grande Do Sul,4,Sul
1990,50,60,MS,Mato Grosso Do Sul,5,Centro Oeste
1990,51,48,MT,Mato Grosso,5,Centro Oeste
1990,52,83,GO,Goiás,5,Centro Oeste
1990,53,83,DF,Distrito Federal,5,Centro Oeste
1991,11,3,RO,Rondônia,1,Norte
1991,12,7,AC,Acre,1,Norte
1991,13,39,AM,Amazonas,1,Norte
1991,14,13,RR,Roraima,1,Norte
1991,15,63,PA,Pará,1,Norte
1991,16,3,AP,Amapá,1,Norte
1991,17,8,TO,Tocantins,1,Norte
1991,21,68,MA,Maranhão,2,Nordeste
1991,22,33,PI,Piauí,2,Nordeste
1991,23,128,CE,Ceará,2,Nordeste
1991,24,52,RN,Rio Grande Do Norte,2,Nordeste
1991,25,62,PB,Paraíba,2,Nordeste
1991,26,222,PE,Pernambuco,2,Nordeste
